Character Name
Mickey Mouse
Minnie Mouse
Donald Duck
Daisy Duck
Goofy
Pluto
Elsa (Frozen)
Anna (Frozen)
Olaf (Frozen)
Simba (The Lion King)
Timon (The Lion King)
Pumbaa (The Lion King)
Aladdin
Jasmine
Genie (Aladdin)
Ariel (The Little Mermaid)
Belle (Beauty and the Beast)
Beast (Beauty and the Beast)
Cinderella
Tiana (The Princess and the Frog)
